id,title,type,directors,actors,release_year,duration,categories,plot
97,if i leave here tomorrow a film about lynyrd skynyrd,movie,stephen kijak,"ronnie van zandt,gary rossington,allen collins,leon wilkeson,bob burns,billy powell,ed king,artimus pyle,steve gaines,johnny van zant",2018,97 min,"documentaries,music  musicals",using interviews and archival footage this documentary charts the story of the legendary southern rockers with a focus on front man ronnie van zant
98,kid cosmic,tv show,,"jack fisher,tom kenny,amanda c miller,kim yarbrough,keith ferguson,grey griffin,lily rose silver",2021,2 seasons,"kids tv,tv comedies,tv scifi  fantasy",a boys superhero dreams come true when he finds five powerful cosmic stones but saving the day is harder than he imagined  and he cannot do it alone
99,octonauts above  beyond,tv show,,"antonio aakeel,chipo chung,simon foster,teresa gallagher,simon greenall,kate harbour,paul panting,rob rackstraw,william vanderpuye,helen walsh,keith wickham,andres williams,jo wyatt",2021,1 season,"british tv shows,kids tv",the octonauts expand their exploration beyond the sea  and onto land with new rides and new friends they will protect any habitats and animals at risk
100,on the verge,tv show,,"julie delpy,elisabeth shue,sarah jones,alexia landeau,mathieu demy,troy garity,timm sharp,giovanni ribisi",2021,1 season,"tv comedies,tv dramas",four women  a chef a single mom an heiress and a job seeker  dig into love and work with a generous side of midlife crises in prepandemic la
101,tobot galaxy detectives,tv show,,"austin abell,travis turner,cole howard,anna cummer,jesse inocalla,brian dobson,michael adamthwaite,joseph girgis,caitlyn bairstow",2019,2 seasons,kids tv,an intergalactic device transforms toy cars into robots the tobots working with friends to solve mysteries they protect the world from evil
102,untold breaking point,movie,"chapman way,maclain way",,2021,80 min,"documentaries,sports movies",under pressure to continue a winning tradition in american tennis mardy fish faced mental health challenges that changed his life on and off the court
103,countdown inspiration4 mission to space,tv show,jason hehir,,2021,1 season,"docuseries,science  nature tv",from training to launch to landing this allaccess docuseries rides along with the inspiration4 crew on the first allcivilian orbital space mission
104,shadow parties,movie,yemi amodu,"jide kosoko,omotola jaladeekeinde,yemi blaq,sola sobowale,ken erics,toyin aimakhu,segun arinze,jibola dabo,rotimi salami,pa jimi solanke,rachael okonkwo,bassey okon,lucien morgan,magdalena korpas",2020,117 min,"dramas,international movies,thrillers",a family faces destruction in a longrunning conflict between communities that pits relatives against each other amid attacks and reprisals
105,tayo the little bus,tv show,,"robyn slade,kami desilets",2016,2 seasons,"kids tv,korean tv shows",as they learn their routes around the busy city tayo and his little bus friends discover new sights and go on exciting adventures every day
106,angamaly diaries,movie,lijo jose pellissery,"antony varghese,reshma rajan,binny rinky benjamin,vineeth vishwam,kichu tellus,sreekanth dasan,sarath kumar,tito wilson,anandhu,bitto davis,sinoj varghese",2017,128 min,"action  adventure,comedies,dramas",after growing up amidst the gang wars of his hometown vincent forms an entrepreneurial squad of his own and ends up on the wrong side of the law
107,bunkd,tv show,,"peyton list,karan brar,skai jackson,miranda may,kevin g quinn,nathan arenas,nina lu",2021,5 seasons,"kids tv,tv comedies",the ross siblings of disneys hit series jessie spend a summer full of fun and adventure at maines camp kikiwaka where their parents first met
108,a champion heart,movie,david de vos,"mandy grace,david de vos,donna rusch,devan key,isabella mancuso,ariana guido",2018,90 min,"children  family movies,dramas",when a grieving teen must work off her debt to a ranch she cares for a wounded horse that teaches her more about healing than she expected
109,dive club,tv show,,"aubri ibrag,sanaa shaik,miah madden,mercy cornwall,georgiamay davis,ryan harrison,josh heuston,alexander grant",2021,1 season,"kids tv,tv dramas,teen tv shows",on the shores of cape mercy a skillful group of teen divers investigate a series of secrets and signs after one of their own mysteriously goes missing
110,la casa de papel,tv show,,"úrsula corberó,itziar ituño,álvaro morte,paco tous,enrique arce,pedro alonso,maría pedraza,alba flores,miguel herrán,jaime lorente,esther acebo,darko peric,kiti mánver",2021,5 seasons,"crime tv shows,international tv shows,spanishlanguage tv shows",eight thieves take hostages and lock themselves in the royal mint of spain as a criminal mastermind manipulates the police to carry out his plan
111,money heist from tokyo to berlin,tv show,"luis alfaro,javier gómez santander",,2021,1 season,"docuseries,international tv shows,spanishlanguage tv shows",the filmmakers and actors behind money heist characters like tokyo and the professor talk about the emotional artistic process of filming the series
112,sharkdog,tv show,,"liam mitchell,dee bradley baker,grey griffin,josh mcdermitt,kari wahlgren,judy alice lee,ali mawji",2021,1 season,kids tv,half shark half dog with a big heart and a belly full of fish sticks together sharkdog and his human pal max can take on any silly or messy adventure
113,worth,movie,sara colangelo,"michael keaton,stanley tucci,amy ryan,shunori ramanathan,ato blanksonwood,tate donovan,laura benanti,chris tardio",2021,119 min,dramas,in the wake of the sept 11 attacks a lawyer faces an emotional reckoning as he attempts to put a dollar value on the lives lost based on real events
114,afterlife of the party,movie,stephen herek,"victoria justice,midori francis,robyn scott,adam garcia,timothy renouf,gloria garcia,myfanwy waring,spencer sutherland",2021,110 min,"comedies,romantic movies",cassie lives to party until she dies in a freak accident now this social butterfly needs to right her wrongs on earth if she wants to earn her wings
115,anjaam,movie,rahul rawail,"madhuri dixit,shah rukh khan,tinnu anand,johny lever,kalpana iyer,himani shivpuri,sudha chandran,beena,kiran kumar",1994,143 min,"dramas,international movies,thrillers",a wealthy industrialists dangerous obsession with a flight attendant destroys her world until she takes matters into her own hands to exact revenge
116,bright star,movie,jane campion,"abbie cornish,ben whishaw,paul schneider,kerry fox,edie martin,thomas brodiesangster,claudie blakley,gerard monaco,antonia campbellhughes,samuel roukin",2009,119 min,"dramas,romantic movies",this drama details the passionate threeyear romance between romantic poet john keats  who died tragically at age 25  and his great love and muse
117,dhanak,movie,nagesh kukunoor,"krrish chhabria,hetal gada,vipin sharma,gulfam khan,suresh menon,vijay maurya,rajiv lakshman,ninad kamat",2015,114 min,"comedies,dramas,independent movies",a movieloving 10yearold and her blind little brother trek to meet indian superstar shah rukh khan for help in getting the boy an eye operation
118,final account,movie,luke holland,,2021,94 min,documentaries,this documentary stitches together neverbeforeseen interviews with the last living generation of people who participated in hitlers third reich
119,gurgaon,movie,shanker raman,"akshay oberoi,pankaj tripathi,ragini khanna,aamir bashir,shalini vatsa,ashish verma",2017,106 min,"dramas,international movies,thrillers",when the daughter of a wealthy family returns from college she gets a frosty welcome from her brother who has problems  and plans  of his own
120,here and there,movie,jp habac,"janine gutierrez,jc santos,victor anastacio,yesh burce,lotlot de leon",2020,99 min,"dramas,international movies,romantic movies",after meeting through a heated exchange on social media two people with different backgrounds begin an online romance in the midst of a pandemic
121,heroes of goo jit zu,tv show,,"jon allen,kellen goff,joe hernandez,kaiji tang",2021,1 season,"kids tv,tv comedies",after a meteor crash a group of zoo animals transforms into squishy gooey and stretchy superheroes with special powers and soon takes on evildoers
122,hotel del luna,tv show,,"lee jieun,yeo jingoo,shin junggeun,seo yisook,bae haesun,pyo jihoon,cho hyunchul,kang hongsuk,lee dohyun,lee taeseon,kang mina,park youna,oh jiho",2019,1 season,"international tv shows,romantic tv shows,tv comedies",when he is invited to manage a hotel for dead souls an elite hotelier gets to know the establishments ancient owner and her strange world
123,in the cut,movie,jane campion,"meg ryan,mark ruffalo,jennifer jason leigh,nick damici,sharrieff pugh,kevin bacon,yaani king mondschein,heather litteer",2003,118 min,thrillers,after embarking on an affair with the cop probing the murder of a young woman an insular schoolteacher suspects her lover was involved in the crime
124,luv kushh,tv show,,,2012,1 season,kids tv,based on the last book of the epic ramayana this series follows the endeavors and adventures of lord ramas twin sons through their childhood
125,pororo  the little penguin,tv show,,,2013,3 seasons,"kids tv,korean tv shows",on a tiny island pororo the penguin has fun adventures with his friends eddy the fox loopy the beaver poby the polar bear and crong the dinosaur
126,qforce,tv show,,"sean hayes,wanda sykes,laurie metcalf,david harbour,gary cole,patti harrison,matt rogers",2021,1 season,"crime tv shows,tv action  adventure,tv comedies",a gay superspy and his scrappy lgbtq squad fight to prove themselves to the agency that underestimated them today west hollywood tomorrow the world
127,shikara,movie,vidhu vinod chopra,"aadil khan,sadia khateeb,zain khan durrani,priyanshu chatterjee,bhavna chauhan,ashwin dhar,farid azad khan,saghar sehrai",2020,115 min,"dramas,international movies,romantic movies",a couple must strive to remain resilient after regional hostilities drive them from their beloved home into a refugee camp
128,a cinderella story,movie,mark rosman,"hilary duff,chad michael murray,jennifer coolidge,dan byrd,regina king,julie gonzalo,lin shaye,madeline zima,andrea avery,mary pat gleason,paul rodriguez,whip hubley,kevin kilner,erica hubbard,simon helberg",2004,95 min,"children  family movies,comedies",teen sam meets the boy of her dreams at a dance before returning to toil in her stepmothers diner can her lost cell phone bring them together
129,agatha christies crooked house,movie,gilles paquetbrenner,"glenn close,terence stamp,max irons,gillian anderson,christina hendricks,stefanie martini,julian sands,honor kneafsey,christian mckay,amanda abbington",2017,115 min,"dramas,international movies,thrillers",when a detective investigates the death of his exlovers grandfather he uncovers secrets about the tycoons manipulative family
130,an unfinished life,movie,lasse hallström,"robert redford,jennifer lopez,morgan freeman,josh lucas,damian lewis,camryn manheim,becca gardner,lynda boyd,rob hayter,p lynn johnson",2005,108 min,dramas,a grieving widow and her daughter move in with her estranged fatherinlaw in wyoming where time allows them to heal and forgive
131,barbie big city big dreams,movie,scott pleydellpearce,"america young,amber may,giselle fernandez,alejandro saab,dinora walcott",2021,63 min,"children  family movies,music  musicals",at a summer performing arts program in new york city barbie from malibu meets barbie from brooklyn and the two become fast friends
